# of genes	# of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	Go term name
15	95	1.08512	0.00000	<0.00050	GO:1900371	regulation of purine nucleotide biosynthetic process
9	57	1.08422	0.00000	0.00150	GO:0046686	response to cadmium ion
12	76	1.08374	0.00000	<0.00050	GO:0035004	phosphatidylinositol 3-kinase activity
8	51	1.08178	0.00000	0.00300	GO:0043679	axon terminus
8	51	1.08178	0.00000	0.00300	GO:0045428	regulation of nitric oxide biosynthetic process
13	83	1.07991	0.00000	<0.00050	GO:0003018	vascular process in circulatory system
24	158	1.07377	0.00000	<0.00050	GO:0070374	positive regulation of ERK1 and ERK2 cascade
19	124	1.07295	0.00000	<0.00050	GO:0020037	heme binding
8	52	1.07189	0.00000	0.00300	GO:0032768	regulation of monooxygenase activity
8	53	1.06221	0.00000	0.00400	GO:0032210	regulation of telomere maintenance via telomerase
11	73	1.05973	0.00000	<0.00050	GO:0060079	excitatory postsynaptic potential
9	60	1.05808	0.00000	0.00150	GO:1904356	regulation of telomere maintenance via telomere lengthening
12	81	1.05119	0.00000	<0.00050	GO:0060078	regulation of postsynaptic membrane potential
23	158	1.05085	0.00000	<0.00050	GO:2000377	regulation of reactive oxygen species metabolic process
7	48	1.04642	0.00001	0.03450	GO:0008542	visual learning
7	48	1.04642	0.00001	0.03450	GO:0009187	cyclic nucleotide metabolic process
7	48	1.04642	0.00001	0.03450	GO:0043550	regulation of lipid kinase activity
11	75	1.04600	0.00000	<0.00050	GO:2000278	regulation of DNA biosynthetic process
8	55	1.04348	0.00000	0.00950	GO:0070988	demethylation
9	62	1.04148	0.00000	0.00150	GO:0030804	positive regulation of cyclic nucleotide biosynthetic process
11	76	1.03930	0.00000	<0.00050	GO:0045913	positive regulation of carbohydrate metabolic process
18	126	1.03628	0.00000	<0.00050	GO:0045834	positive regulation of lipid metabolic process
7	49	1.03605	0.00001	0.04450	GO:0031281	positive regulation of cyclase activity
7	49	1.03605	0.00001	0.04450	GO:0051349	positive regulation of lyase activity
23	163	1.03499	0.00000	<0.00050	GO:0018108	peptidyl-tyrosine phosphorylation
15	105	1.03402	0.00000	<0.00050	GO:0006721	terpenoid metabolic process
9	63	1.03342	0.00000	0.00150	GO:0030594	neurotransmitter receptor activity
19	134	1.03338	0.00000	<0.00050	GO:0046906	tetrapyrrole binding
10	70	1.03288	0.00000	0.00150	GO:0031279	regulation of cyclase activity
7	50	1.02593	0.00002	0.04800	GO:0032206	positive regulation of telomere maintenance
10	71	1.02574	0.00000	0.00150	GO:0051339	regulation of lyase activity
23	166	1.02574	0.00000	<0.00050	GO:0018212	peptidyl-tyrosine modification
8	57	1.02552	0.00000	0.01000	GO:0010517	regulation of phospholipase activity
28	206	1.02186	0.00000	<0.00050	GO:0043406	positive regulation of MAP kinase activity
31	230	1.02137	0.00000	<0.00050	GO:0070372	regulation of ERK1 and ERK2 cascade
8	58	1.01681	0.00000	0.01150	GO:0051279	regulation of release of sequestered calcium ion into cytosol
23	170	1.01370	0.00000	<0.00050	GO:0004713	protein tyrosine kinase activity
16	118	1.00835	0.00000	<0.00050	GO:0048660	regulation of smooth muscle cell proliferation
8	59	1.00827	0.00000	0.01900	GO:0009166	nucleotide catabolic process
8	59	1.00827	0.00000	0.01900	GO:0030816	positive regulation of cAMP metabolic process
8	59	1.00827	0.00000	0.01900	GO:0060402	calcium ion transport into cytosol
10	74	1.00498	0.00000	0.00150	GO:0010631	epithelial cell migration
16	119	1.00411	0.00000	<0.00050	GO:0043271	negative regulation of ion transport
29	222	1.00304	0.00000	<0.00050	GO:0007268	synaptic transmission
17	127	1.00261	0.00000	<0.00050	GO:0032845	negative regulation of homeostatic process
9	67	1.00256	0.00000	0.00300	GO:0040014	regulation of multicellular organism growth
9	67	1.00256	0.00000	0.00300	GO:0042180	cellular ketone metabolic process
19	143	1.00057	0.00000	<0.00050	GO:0051897	positive regulation of protein kinase B signaling
8	60	0.99989	0.00001	0.01950	GO:0060193	positive regulation of lipase activity
8	60	0.99989	0.00001	0.01950	GO:0060401	cytosolic calcium ion transport
293	15852	0.99706	0.00000	<0.00050	GO:0008150	biological_process
20	152	0.99661	0.00000	<0.00050	GO:0005506	iron ion binding
295	16838	0.99560	0.00000	<0.00050	GO:0005575	cellular_component
14	106	0.99398	0.00000	<0.00050	GO:0050728	negative regulation of inflammatory response
8	61	0.99167	0.00001	0.02150	GO:0033293	monocarboxylic acid binding
14	107	0.98929	0.00000	<0.00050	GO:0034614	cellular response to reactive oxygen species
16	123	0.98754	0.00000	<0.00050	GO:1900182	positive regulation of protein localization to nucleus
10	77	0.98517	0.00000	0.00150	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
10	77	0.98517	0.00000	0.00150	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis
14	108	0.98464	0.00000	<0.00050	GO:0005057	receptor signaling protein activity
8	62	0.98361	0.00001	0.02300	GO:1900076	regulation of cellular response to insulin stimulus
9	70	0.98077	0.00000	0.00300	GO:0030810	positive regulation of nucleotide biosynthetic process
9	70	0.98077	0.00000	0.00300	GO:0031644	regulation of neurological system process
9	70	0.98077	0.00000	0.00300	GO:1900373	positive regulation of purine nucleotide biosynthetic process
10	78	0.97875	0.00000	0.00150	GO:0002431	Fc receptor mediated stimulatory signaling pathway
10	78	0.97875	0.00000	0.00150	GO:0045833	negative regulation of lipid metabolic process
12	94	0.97640	0.00000	<0.00050	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling
12	94	0.97640	0.00000	<0.00050	GO:0046854	phosphatidylinositol phosphorylation
14	110	0.97550	0.00000	<0.00050	GO:0050806	positive regulation of synaptic transmission
9	71	0.97374	0.00000	0.00450	GO:0008306	associative learning
24	193	0.97247	0.00000	<0.00050	GO:0051896	regulation of protein kinase B signaling
17	135	0.97206	0.00000	<0.00050	GO:0000187	activation of MAPK activity
9	72	0.96682	0.00000	0.00900	GO:0048010	vascular endothelial growth factor receptor signaling pathway
10	80	0.96621	0.00000	0.00150	GO:0038094	Fc-gamma receptor signaling pathway
10	80	0.96621	0.00000	0.00150	GO:0043266	regulation of potassium ion transport
11	88	0.96595	0.00000	0.00150	GO:0008081	phosphoric diester hydrolase activity
33	275	0.96555	0.00000	<0.00050	GO:0050804	modulation of synaptic transmission
22	179	0.96450	0.00000	<0.00050	GO:2000021	regulation of ion homeostasis
51	449	0.96336	0.00000	<0.00050	GO:0043410	positive regulation of MAPK cascade
15	121	0.96293	0.00000	<0.00050	GO:0006720	isoprenoid metabolic process
29	241	0.96190	0.00000	<0.00050	GO:0042493	response to drug
17	138	0.96113	0.00000	<0.00050	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
8	65	0.96026	0.00001	0.02900	GO:0006970	response to osmotic stress
8	65	0.96026	0.00001	0.02900	GO:0030574	collagen catabolic process
8	65	0.96026	0.00001	0.02900	GO:1901292	nucleoside phosphate catabolic process
10	81	0.96007	0.00000	0.00150	GO:0051341	regulation of oxidoreductase activity
16	131	0.95617	0.00000	<0.00050	GO:0006937	regulation of muscle contraction
30	254	0.95384	0.00000	<0.00050	GO:0001666	response to hypoxia
9	74	0.95330	0.00000	0.01000	GO:0018958	phenol-containing compound metabolic process
8	66	0.95275	0.00001	0.03350	GO:0015908	fatty acid transport
12	99	0.95073	0.00000	0.00050	GO:0045740	positive regulation of DNA replication
9	75	0.94670	0.00000	0.01000	GO:0010522	regulation of calcium ion transport into cytosol
9	75	0.94670	0.00000	0.01000	GO:0042060	wound healing
8	67	0.94537	0.00001	0.03750	GO:0007189	adenylate cyclase-activating G-protein coupled receptor signaling pathway
8	67	0.94537	0.00001	0.03750	GO:0010507	negative regulation of autophagy
8	67	0.94537	0.00001	0.03750	GO:0034103	regulation of tissue remodeling
8	67	0.94537	0.00001	0.03750	GO:0042562	hormone binding
8	67	0.94537	0.00001	0.03750	GO:0044306	neuron projection terminus
32	277	0.94534	0.00000	<0.00050	GO:0043405	regulation of MAP kinase activity
33	288	0.94255	0.00000	<0.00050	GO:0070482	response to oxygen levels
10	84	0.94214	0.00000	0.00250	GO:0001816	cytokine production
10	84	0.94214	0.00000	0.00250	GO:0033138	positive regulation of peptidyl-serine phosphorylation
277	11196	0.93899	0.00000	<0.00050	GO:0044699	single-organism process
8	68	0.93810	0.00001	0.04650	GO:0031295	T cell costimulation
28	244	0.93711	0.00000	<0.00050	GO:0008202	steroid metabolic process
30	263	0.93655	0.00000	<0.00050	GO:0036293	response to decreased oxygen levels
12	102	0.93601	0.00000	0.00150	GO:0044236	multicellular organismal metabolic process
9	77	0.93378	0.00000	0.01700	GO:0030801	positive regulation of cyclic nucleotide metabolic process
9	77	0.93378	0.00000	0.01700	GO:0032204	regulation of telomere maintenance
9	77	0.93378	0.00000	0.01700	GO:0038127	ERBB signaling pathway
9	77	0.93378	0.00000	0.01700	GO:0070542	response to fatty acid
14	120	0.93243	0.00000	<0.00050	GO:0006694	steroid biosynthetic process
8	69	0.93096	0.00002	0.04900	GO:0031294	lymphocyte costimulation
10	86	0.93059	0.00000	0.00300	GO:0009755	hormone-mediated signaling pathway
23	201	0.93010	0.00000	<0.00050	GO:1900542	regulation of purine nucleotide metabolic process
21	184	0.92680	0.00000	<0.00050	GO:0090257	regulation of muscle system process
32	291	0.92091	0.00000	<0.00050	GO:0032147	activation of protein kinase activity
23	205	0.92038	0.00000	<0.00050	GO:0006140	regulation of nucleotide metabolic process
292	15795	0.92013	0.00000	<0.00050	GO:0003674	molecular_function
12	106	0.91713	0.00000	0.00150	GO:0034754	cellular hormone metabolic process
12	106	0.91713	0.00000	0.00150	GO:0046834	lipid phosphorylation
9	80	0.91509	0.00001	0.02150	GO:0042058	regulation of epidermal growth factor receptor signaling pathway
9	80	0.91509	0.00001	0.02150	GO:0043255	regulation of carbohydrate biosynthetic process
9	80	0.91509	0.00001	0.02150	GO:0050673	epithelial cell proliferation
11	98	0.91300	0.00000	0.00150	GO:0042307	positive regulation of protein import into nucleus
12	107	0.91254	0.00000	0.00150	GO:0045981	positive regulation of nucleotide metabolic process
12	107	0.91254	0.00000	0.00150	GO:1900544	positive regulation of purine nucleotide metabolic process
9	81	0.90904	0.00001	0.02300	GO:0007631	feeding behavior
15	135	0.90895	0.00000	<0.00050	GO:0007612	learning
19	172	0.90892	0.00000	<0.00050	GO:0000302	response to reactive oxygen species
31	291	0.90401	0.00000	<0.00050	GO:0071902	positive regulation of protein serine/threonine kinase activity
11	100	0.90313	0.00000	0.00150	GO:0072593	reactive oxygen species metabolic process
11	100	0.90313	0.00000	0.00150	GO:1904591	positive regulation of protein import
14	128	0.90078	0.00000	<0.00050	GO:0048167	regulation of synaptic plasticity
60	617	0.89968	0.00000	<0.00050	GO:0043408	regulation of MAPK cascade
20	185	0.89922	0.00000	<0.00050	GO:0034599	cellular response to oxidative stress
10	92	0.89765	0.00000	0.00900	GO:1901184	regulation of ERBB signaling pathway
17	157	0.89757	0.00000	<0.00050	GO:1903036	positive regulation of response to wounding
9	83	0.89717	0.00001	0.02750	GO:0033273	response to vitamin
14	129	0.89698	0.00000	<0.00050	GO:0008217	regulation of blood pressure
14	129	0.89698	0.00000	<0.00050	GO:0050803	regulation of synapse structure or activity
18	167	0.89607	0.00000	<0.00050	GO:0050796	regulation of insulin secretion
45	446	0.89578	0.00000	<0.00050	GO:0044057	regulation of system process
26	246	0.89425	0.00000	<0.00050	GO:0046883	regulation of hormone secretion
