# of genes	# of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	Go term name
20	30	1.31397	0.00000	<0.00050	GO:0086002	cardiac muscle cell action potential involved in contraction
16	24	1.31042	0.00000	<0.00050	GO:0035235	ionotropic glutamate receptor signaling pathway
14	21	1.30814	0.00000	<0.00050	GO:0006067	ethanol metabolic process
10	15	1.30162	0.00000	<0.00050	GO:0048148	behavioral response to cocaine
23	35	1.29834	0.00000	<0.00050	GO:0035094	response to nicotine
8	12	1.29648	0.00000	0.00200	GO:0033598	mammary gland epithelial cell proliferation
8	12	1.29648	0.00000	0.00200	GO:0042165	neurotransmitter binding
11	17	1.26882	0.00000	<0.00050	GO:0010644	cell communication by electrical coupling
21	33	1.25916	0.00000	<0.00050	GO:0086001	cardiac muscle cell action potential
9	14	1.25788	0.00000	0.00050	GO:0010893	positive regulation of steroid biosynthetic process
12	19	1.24314	0.00000	<0.00050	GO:0005234	extracellular-glutamate-gated ion channel activity
7	11	1.24185	0.00001	0.03100	GO:0010107	potassium ion import
7	11	1.24185	0.00001	0.03100	GO:0030656	regulation of vitamin metabolic process
7	11	1.24185	0.00001	0.03100	GO:0034379	very-low-density lipoprotein particle assembly
7	11	1.24185	0.00001	0.03100	GO:0043225	anion transmembrane-transporting ATPase activity
18	29	1.22930	0.00000	<0.00050	GO:0042572	retinol metabolic process
18	29	1.22930	0.00000	<0.00050	GO:0060306	regulation of membrane repolarization
10	16	1.22904	0.00000	0.00050	GO:0032225	regulation of synaptic transmission, dopaminergic
10	16	1.22904	0.00000	0.00050	GO:0086011	membrane repolarization during action potential
10	16	1.22904	0.00000	0.00050	GO:0086013	membrane repolarization during cardiac muscle cell action potential
10	16	1.22904	0.00000	0.00050	GO:1903959	regulation of anion transmembrane transport
13	21	1.22245	0.00000	<0.00050	GO:0086065	cell communication involved in cardiac conduction
30	49	1.22020	0.00000	<0.00050	GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding
30	49	1.22020	0.00000	<0.00050	GO:0098531	transcription factor activity, direct ligand regulated sequence-specific DNA binding
8	13	1.20930	0.00000	0.00650	GO:0010885	regulation of cholesterol storage
8	13	1.20930	0.00000	0.00650	GO:0015464	acetylcholine receptor activity
8	13	1.20930	0.00000	0.00650	GO:0034374	low-density lipoprotein particle remodeling
8	13	1.20930	0.00000	0.00650	GO:0042554	superoxide anion generation
8	13	1.20930	0.00000	0.00650	GO:0071872	cellular response to epinephrine stimulus
11	18	1.20665	0.00000	<0.00050	GO:0004970	ionotropic glutamate receptor activity
11	18	1.20665	0.00000	<0.00050	GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
11	18	1.20665	0.00000	<0.00050	GO:0031000	response to caffeine
11	18	1.20665	0.00000	<0.00050	GO:2000310	regulation of N-methyl-D-aspartate selective glutamate receptor activity
14	23	1.20543	0.00000	<0.00050	GO:0008227	G-protein coupled amine receptor activity
26	43	1.20509	0.00000	<0.00050	GO:0051899	membrane depolarization
27	45	1.19729	0.00000	<0.00050	GO:0005230	extracellular ligand-gated ion channel activity
21	35	1.19465	0.00000	<0.00050	GO:0086091	regulation of heart rate by cardiac conduction
18	30	1.19307	0.00000	<0.00050	GO:0022824	transmitter-gated ion channel activity
18	30	1.19307	0.00000	<0.00050	GO:0022835	transmitter-gated channel activity
15	25	1.19117	0.00000	<0.00050	GO:0004033	aldo-keto reductase (NADP) activity
9	15	1.18530	0.00000	0.00100	GO:0030673	axolemma
9	15	1.18530	0.00000	0.00100	GO:0086005	ventricular cardiac muscle cell action potential
9	15	1.18530	0.00000	0.00100	GO:1900273	positive regulation of long-term synaptic potentiation
35	60	1.17085	0.00000	<0.00050	GO:0001508	action potential
10	17	1.16687	0.00000	0.00050	GO:0004745	retinol dehydrogenase activity
10	17	1.16687	0.00000	0.00050	GO:0010888	negative regulation of lipid storage
10	17	1.16687	0.00000	0.00050	GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization
22	38	1.15850	0.00000	<0.00050	GO:0014075	response to amine
11	19	1.15227	0.00000	0.00050	GO:0005251	delayed rectifier potassium channel activity
11	19	1.15227	0.00000	0.00050	GO:0086009	membrane repolarization
19	33	1.15169	0.00000	<0.00050	GO:0006730	one-carbon metabolic process
15	26	1.15164	0.00000	<0.00050	GO:0061615	glycolytic process through fructose-6-phosphate
15	26	1.15164	0.00000	<0.00050	GO:0061620	glycolytic process through glucose-6-phosphate
12	21	1.14042	0.00000	<0.00050	GO:0032809	neuronal cell body membrane
12	21	1.14042	0.00000	<0.00050	GO:0044298	cell body membrane
8	14	1.13672	0.00001	0.02050	GO:0014061	regulation of norepinephrine secretion
8	14	1.13672	0.00001	0.02050	GO:0032930	positive regulation of superoxide anion generation
8	14	1.13672	0.00001	0.02050	GO:0034236	protein kinase A catalytic subunit binding
8	14	1.13672	0.00001	0.02050	GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
8	14	1.13672	0.00001	0.02050	GO:0051580	regulation of neurotransmitter uptake
8	14	1.13672	0.00001	0.02050	GO:1990776	response to angiotensin
17	30	1.13521	0.00000	<0.00050	GO:0008209	androgen metabolic process
32	57	1.13167	0.00000	<0.00050	GO:0034308	primary alcohol metabolic process
18	32	1.12855	0.00000	<0.00050	GO:0042220	response to cocaine
14	25	1.12240	0.00000	<0.00050	GO:0006735	NADH regeneration
14	25	1.12240	0.00000	<0.00050	GO:0061621	canonical glycolysis
14	25	1.12240	0.00000	<0.00050	GO:0061718	glucose catabolic process to pyruvate
30	54	1.12094	0.00000	<0.00050	GO:0003707	steroid hormone receptor activity
21	38	1.11290	0.00000	<0.00050	GO:0071312	cellular response to alkaloid
10	18	1.11248	0.00000	0.00100	GO:0032026	response to magnesium ion
11	20	1.10394	0.00000	0.00050	GO:0051968	positive regulation of synaptic transmission, glutamatergic
25	46	1.09860	0.00000	<0.00050	GO:0070405	ammonium ion binding
13	24	1.09109	0.00000	<0.00050	GO:1902932	positive regulation of alcohol biosynthetic process
13	24	1.09109	0.00000	<0.00050	GO:1903409	reactive oxygen species biosynthetic process
14	26	1.08616	0.00000	<0.00050	GO:0008066	glutamate receptor activity
16	30	1.07832	0.00000	<0.00050	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
16	30	1.07832	0.00000	<0.00050	GO:0042743	hydrogen peroxide metabolic process
17	32	1.07516	0.00000	<0.00050	GO:0006734	NADH metabolic process
8	15	1.07455	0.00001	0.04400	GO:0007158	neuron cell-cell adhesion
8	15	1.07455	0.00001	0.04400	GO:0034310	primary alcohol catabolic process
8	15	1.07455	0.00001	0.04400	GO:0045725	positive regulation of glycogen biosynthetic process
18	34	1.07239	0.00000	<0.00050	GO:0071868	cellular response to monoamine stimulus
18	34	1.07239	0.00000	<0.00050	GO:0071870	cellular response to catecholamine stimulus
60	115	1.07085	0.00000	<0.00050	GO:0043279	response to alkaloid
9	17	1.06874	0.00000	0.00950	GO:0051590	positive regulation of neurotransmitter transport
9	17	1.06874	0.00000	0.00950	GO:0071498	cellular response to fluid shear stress
10	19	1.06415	0.00000	0.00200	GO:0035994	response to muscle stretch
10	19	1.06415	0.00000	0.00200	GO:0042053	regulation of dopamine metabolic process
10	19	1.06415	0.00000	0.00200	GO:0042069	regulation of catecholamine metabolic process
10	19	1.06415	0.00000	0.00200	GO:0071682	endocytic vesicle lumen
10	19	1.06415	0.00000	0.00200	GO:0090075	relaxation of muscle
11	21	1.06044	0.00000	0.00050	GO:0060444	branching involved in mammary gland duct morphogenesis
12	23	1.05739	0.00000	0.00050	GO:0014059	regulation of dopamine secretion
12	23	1.05739	0.00000	0.00050	GO:0018126	protein hydroxylation
13	25	1.05485	0.00000	<0.00050	GO:0006099	tricarboxylic acid cycle
13	25	1.05485	0.00000	<0.00050	GO:1904019	epithelial cell apoptotic process
15	29	1.05089	0.00000	<0.00050	GO:0010743	regulation of macrophage derived foam cell differentiation
39	76	1.05053	0.00000	<0.00050	GO:0008144	drug binding
16	31	1.04933	0.00000	<0.00050	GO:0031663	lipopolysaccharide-mediated signaling pathway
19	37	1.04578	0.00000	<0.00050	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors
20	40	1.02314	0.00000	<0.00050	GO:0050433	regulation of catecholamine secretion
19	38	1.02290	0.00000	<0.00050	GO:0098794	postsynapse
18	36	1.02265	0.00000	<0.00050	GO:0015701	bicarbonate transport
18	36	1.02265	0.00000	<0.00050	GO:0071242	cellular response to ammonium ion
15	30	1.02190	0.00000	<0.00050	GO:0005231	excitatory extracellular ligand-gated ion channel activity
14	28	1.02165	0.00000	<0.00050	GO:1903792	negative regulation of anion transport
12	24	1.02116	0.00000	0.00050	GO:0035902	response to immobilization stress
12	24	1.02116	0.00000	0.00050	GO:0038034	signal transduction in absence of ligand
12	24	1.02116	0.00000	0.00050	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand
11	22	1.02091	0.00000	0.00100	GO:0045940	positive regulation of steroid metabolic process
11	22	1.02091	0.00000	0.00100	GO:0050995	negative regulation of lipid catabolic process
10	20	1.02066	0.00000	0.00450	GO:0010874	regulation of cholesterol efflux
10	20	1.02066	0.00000	0.00450	GO:0031418	L-ascorbic acid binding
9	18	1.02041	0.00001	0.02250	GO:0032928	regulation of superoxide anion generation
9	18	1.02041	0.00001	0.02250	GO:0045821	positive regulation of glycolytic process
9	18	1.02041	0.00001	0.02250	GO:0051953	negative regulation of amine transport
72	148	1.01291	0.00000	<0.00050	GO:0034703	cation channel complex
22	45	1.00473	0.00000	<0.00050	GO:0051966	regulation of synaptic transmission, glutamatergic
36	74	1.00393	0.00000	<0.00050	GO:0034705	potassium channel complex
20	41	1.00243	0.00000	<0.00050	GO:0007215	glutamate receptor signaling pathway
18	37	0.99976	0.00000	<0.00050	GO:0071867	response to monoamine
18	37	0.99976	0.00000	<0.00050	GO:0071869	response to catecholamine
42	87	0.99897	0.00000	<0.00050	GO:0060359	response to ammonium ion
16	33	0.99657	0.00000	<0.00050	GO:0072350	tricarboxylic acid metabolic process
39	81	0.99604	0.00000	<0.00050	GO:0005496	steroid binding
39	81	0.99604	0.00000	<0.00050	GO:0060078	regulation of postsynaptic membrane potential
15	31	0.99472	0.00000	<0.00050	GO:0010039	response to iron ion
15	31	0.99472	0.00000	<0.00050	GO:0032148	activation of protein kinase B activity
15	31	0.99472	0.00000	<0.00050	GO:0071276	cellular response to cadmium ion
14	29	0.99266	0.00000	<0.00050	GO:0006007	glucose catabolic process
14	29	0.99266	0.00000	<0.00050	GO:0006101	citrate metabolic process
25	52	0.99155	0.00000	<0.00050	GO:0032768	regulation of monooxygenase activity
13	27	0.99034	0.00000	0.00050	GO:0010613	positive regulation of cardiac muscle hypertrophy
13	27	0.99034	0.00000	0.00050	GO:0014742	positive regulation of muscle hypertrophy
13	27	0.99034	0.00000	0.00050	GO:0043267	negative regulation of potassium ion transport
13	27	0.99034	0.00000	0.00050	GO:1904645	response to beta-amyloid
12	25	0.98771	0.00000	0.00050	GO:0006692	prostanoid metabolic process
12	25	0.98771	0.00000	0.00050	GO:0006693	prostaglandin metabolic process
12	25	0.98771	0.00000	0.00050	GO:1904646	cellular response to beta-amyloid
11	23	0.98467	0.00000	0.00200	GO:0055093	response to hyperoxia
113	244	0.98270	0.00000	<0.00050	GO:0034702	ion channel complex
10	21	0.98113	0.00000	0.00700	GO:0042100	B cell proliferation
9	19	0.97692	0.00001	0.04200	GO:0042744	hydrogen peroxide catabolic process
9	19	0.97692	0.00001	0.04200	GO:0051194	positive regulation of cofactor metabolic process
9	19	0.97692	0.00001	0.04200	GO:0051197	positive regulation of coenzyme metabolic process
17	36	0.97535	0.00000	<0.00050	GO:0006096	glycolytic process
17	36	0.97535	0.00000	<0.00050	GO:0070509	calcium ion import
15	32	0.96914	0.00000	<0.00050	GO:0032228	regulation of synaptic transmission, GABAergic
27	58	0.96581	0.00000	<0.00050	GO:0097110	scaffold protein binding
13	28	0.96135	0.00000	0.00050	GO:0071715	icosanoid transport
13	28	0.96135	0.00000	0.00050	GO:1901571	fatty acid derivative transport
53	116	0.95678	0.00000	<0.00050	GO:0045471	response to ethanol
12	26	0.95665	0.00000	0.00100	GO:0032309	icosanoid secretion
12	26	0.95665	0.00000	0.00100	GO:0032770	positive regulation of monooxygenase activity
12	26	0.95665	0.00000	0.00100	GO:0042133	neurotransmitter metabolic process
12	26	0.95665	0.00000	0.00100	GO:0042417	dopamine metabolic process
17	37	0.95360	0.00000	<0.00050	GO:0006757	ATP generation from ADP
17	37	0.95360	0.00000	<0.00050	GO:0032589	neuron projection membrane
32	70	0.95241	0.00000	<0.00050	GO:0008076	voltage-gated potassium channel complex
11	24	0.95122	0.00000	0.00350	GO:0006706	steroid catabolic process
11	24	0.95122	0.00000	0.00350	GO:0034377	plasma lipoprotein particle assembly
11	24	0.95122	0.00000	0.00350	GO:0035924	cellular response to vascular endothelial growth factor stimulus
31	68	0.95002	0.00000	<0.00050	GO:0061337	cardiac conduction
15	33	0.94498	0.00000	<0.00050	GO:0032885	regulation of polysaccharide biosynthetic process
10	22	0.94489	0.00001	0.01900	GO:0045445	myoblast differentiation
10	22	0.94489	0.00001	0.01900	GO:2000463	positive regulation of excitatory postsynaptic potential
33	73	0.94381	0.00000	<0.00050	GO:0060079	excitatory postsynaptic potential
19	42	0.94176	0.00000	<0.00050	GO:0046031	ADP metabolic process
36	80	0.94088	0.00000	<0.00050	GO:0043266	regulation of potassium ion transport
22	49	0.93636	0.00000	<0.00050	GO:0034707	chloride channel complex
13	29	0.93418	0.00000	0.00050	GO:0051385	response to mineralocorticoid
119	274	0.93339	0.00000	<0.00050	GO:1902495	transmembrane transporter complex
24	54	0.92885	0.00000	<0.00050	GO:0043401	steroid hormone mediated signaling pathway
20	45	0.92823	0.00000	<0.00050	GO:0016836	hydro-lyase activity
20	45	0.92823	0.00000	<0.00050	GO:0051353	positive regulation of oxidoreductase activity
15	34	0.92209	0.00000	<0.00050	GO:0051930	regulation of sensory perception of pain
15	34	0.92209	0.00000	<0.00050	GO:0051931	regulation of sensory perception
49	112	0.92191	0.00000	<0.00050	GO:0022843	voltage-gated cation channel activity
11	25	0.92016	0.00000	0.00650	GO:0014896	muscle hypertrophy
11	25	0.92016	0.00000	0.00650	GO:0045907	positive regulation of vasoconstriction
119	279	0.91952	0.00000	<0.00050	GO:1990351	transporter complex
25	57	0.91887	0.00000	<0.00050	GO:0046686	response to cadmium ion
18	41	0.91862	0.00000	<0.00050	GO:0050999	regulation of nitric-oxide synthase activity
17	39	0.91312	0.00000	<0.00050	GO:0045429	positive regulation of nitric oxide biosynthetic process
17	39	0.91312	0.00000	<0.00050	GO:1904407	positive regulation of nitric oxide metabolic process
10	23	0.91144	0.00001	0.03200	GO:0007212	dopamine receptor signaling pathway
10	23	0.91144	0.00001	0.03200	GO:0010288	response to lead ion
10	23	0.91144	0.00001	0.03200	GO:0030552	cAMP binding
13	30	0.90860	0.00000	0.00050	GO:0014072	response to isoquinoline alkaloid
13	30	0.90860	0.00000	0.00050	GO:0043278	response to morphine
34	79	0.90617	0.00000	<0.00050	GO:0035637	multicellular organismal signaling
22	51	0.90582	0.00000	<0.00050	GO:0019233	sensory perception of pain
22	51	0.90582	0.00000	<0.00050	GO:0043679	axon terminus
49	115	0.90178	0.00000	<0.00050	GO:0044070	regulation of anion transport
18	42	0.90050	0.00000	<0.00050	GO:0007270	neuron-neuron synaptic transmission
18	42	0.90050	0.00000	<0.00050	GO:0010883	regulation of lipid storage
12	28	0.90048	0.00000	0.00250	GO:0001659	temperature homeostasis
12	28	0.90048	0.00000	0.00250	GO:0035265	organ growth
12	28	0.90048	0.00000	0.00250	GO:1900271	regulation of long-term synaptic potentiation
15	35	0.90035	0.00000	0.00050	GO:0005891	voltage-gated calcium channel complex
26	61	0.89743	0.00000	<0.00050	GO:0046889	positive regulation of lipid biosynthetic process
23	54	0.89644	0.00000	<0.00050	GO:0055117	regulation of cardiac muscle contraction
28	66	0.89427	0.00000	<0.00050	GO:0051952	regulation of amine transport
14	33	0.89286	0.00000	0.00050	GO:0006801	superoxide metabolic process
14	33	0.89286	0.00000	0.00050	GO:0034405	response to fluid shear stress
11	26	0.89117	0.00000	0.01350	GO:0005979	regulation of glycogen biosynthetic process
11	26	0.89117	0.00000	0.01350	GO:0010962	regulation of glucan biosynthetic process
11	26	0.89117	0.00000	0.01350	GO:0014065	phosphatidylinositol 3-kinase signaling
11	26	0.89117	0.00000	0.01350	GO:0042310	vasoconstriction
11	26	0.89117	0.00000	0.01350	GO:0065005	protein-lipid complex assembly
19	45	0.88950	0.00000	<0.00050	GO:0050661	NADP binding
13	31	0.88444	0.00000	0.00100	GO:0005272	sodium channel activity
18	43	0.88310	0.00000	<0.00050	GO:0071827	plasma lipoprotein particle organization
15	36	0.87964	0.00000	0.00050	GO:1904705	regulation of vascular smooth muscle cell proliferation
36	87	0.87725	0.00000	<0.00050	GO:0002027	regulation of heart rate
17	41	0.87609	0.00000	<0.00050	GO:0033574	response to testosterone
12	29	0.87490	0.00000	0.00450	GO:0007205	protein kinase C-activating G-protein coupled receptor signaling pathway
12	29	0.87490	0.00000	0.00450	GO:0051954	positive regulation of amine transport
12	29	0.87490	0.00000	0.00450	GO:0090322	regulation of superoxide metabolic process
12	29	0.87490	0.00000	0.00450	GO:1903672	positive regulation of sprouting angiogenesis
26	63	0.87357	0.00000	<0.00050	GO:0051588	regulation of neurotransmitter transport
14	34	0.87111	0.00000	0.00050	GO:0016860	intramolecular oxidoreductase activity
14	34	0.87111	0.00000	0.00050	GO:0017144	drug metabolic process
43	106	0.86412	0.00000	<0.00050	GO:0034754	cellular hormone metabolic process
11	27	0.86399	0.00001	0.02550	GO:0010575	positive regulation of vascular endothelial growth factor production
11	27	0.86399	0.00001	0.02550	GO:0042755	eating behavior
11	27	0.86399	0.00001	0.02550	GO:0070371	ERK1 and ERK2 cascade
11	27	0.86399	0.00001	0.02550	GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
24	59	0.86279	0.00000	<0.00050	GO:0060402	calcium ion transport into cytosol
13	32	0.86155	0.00000	0.00200	GO:0007190	activation of adenylate cyclase activity
105	265	0.86131	0.00000	<0.00050	GO:0042391	regulation of membrane potential
15	37	0.85987	0.00000	0.00050	GO:0032881	regulation of polysaccharide metabolic process
15	37	0.85987	0.00000	0.00050	GO:0043113	receptor clustering
17	42	0.85869	0.00000	<0.00050	GO:0015459	potassium channel regulator activity
19	47	0.85785	0.00000	<0.00050	GO:1903428	positive regulation of reactive oxygen species biosynthetic process
45	112	0.85756	0.00000	<0.00050	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
21	52	0.85726	0.00000	<0.00050	GO:0034704	calcium channel complex
31	77	0.85636	0.00000	<0.00050	GO:0070542	response to fatty acid
42	105	0.85374	0.00000	<0.00050	GO:0006721	terpenoid metabolic process
12	30	0.85074	0.00000	0.01000	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors
12	30	0.85074	0.00000	0.01000	GO:0034694	response to prostaglandin
12	30	0.85074	0.00000	0.01000	GO:0045979	positive regulation of nucleoside metabolic process
12	30	0.85074	0.00000	0.01000	GO:0050997	quaternary ammonium group binding
12	30	0.85074	0.00000	0.01000	GO:1903580	positive regulation of ATP metabolic process
24	60	0.85070	0.00000	<0.00050	GO:0060401	cytosolic calcium ion transport
14	35	0.85040	0.00000	0.00100	GO:0005245	voltage-gated calcium channel activity
20	50	0.85034	0.00000	<0.00050	GO:0071398	cellular response to fatty acid
18	45	0.85025	0.00000	<0.00050	GO:0014704	intercalated disc
18	45	0.85025	0.00000	<0.00050	GO:0019825	oxygen binding
18	45	0.85025	0.00000	<0.00050	GO:0071825	protein-lipid complex subunit organization
38	96	0.84544	0.00000	<0.00050	GO:0016101	diterpenoid metabolic process
23	58	0.84442	0.00000	<0.00050	GO:0051279	regulation of release of sequestered calcium ion into cytosol
34	86	0.84384	0.00000	<0.00050	GO:2000379	positive regulation of reactive oxygen species metabolic process
21	53	0.84366	0.00000	<0.00050	GO:0033555	multicellular organismal response to stress
32	81	0.84298	0.00000	<0.00050	GO:0051341	regulation of oxidoreductase activity
15	38	0.84096	0.00000	0.00050	GO:0030315	T-tubule
13	33	0.83980	0.00000	0.00300	GO:0016529	sarcoplasmic reticulum
13	33	0.83980	0.00000	0.00300	GO:0045776	negative regulation of blood pressure
11	28	0.83841	0.00001	0.03900	GO:0016229	steroid dehydrogenase activity
11	28	0.83841	0.00001	0.03900	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol
11	28	0.83841	0.00001	0.03900	GO:0097061	dendritic spine organization
43	110	0.83748	0.00000	<0.00050	GO:0050806	positive regulation of synaptic transmission
20	51	0.83630	0.00000	<0.00050	GO:0045428	regulation of nitric oxide biosynthetic process
16	41	0.83286	0.00000	0.00050	GO:0019369	arachidonic acid metabolic process
16	41	0.83286	0.00000	0.00050	GO:0048662	negative regulation of smooth muscle cell proliferation
16	41	0.83286	0.00000	0.00050	GO:0055081	anion homeostasis
21	54	0.83047	0.00000	<0.00050	GO:0050880	regulation of blood vessel size
19	49	0.82834	0.00000	<0.00050	GO:0019229	regulation of vasoconstriction
19	49	0.82834	0.00000	<0.00050	GO:0031281	positive regulation of cyclase activity
12	31	0.82785	0.00001	0.01850	GO:0042596	fear response
56	146	0.82674	0.00000	<0.00050	GO:0043209	myelin sheath
32	83	0.82573	0.00000	<0.00050	GO:0009055	electron carrier activity
51	133	0.82550	0.00000	<0.00050	GO:0015276	ligand-gated ion channel activity
51	133	0.82550	0.00000	<0.00050	GO:0022834	ligand-gated channel activity
40	104	0.82543	0.00000	<0.00050	GO:0007613	memory
22	57	0.82526	0.00000	<0.00050	GO:0035690	cellular response to drug
58	152	0.82352	0.00000	<0.00050	GO:0005244	voltage-gated ion channel activity
58	152	0.82352	0.00000	<0.00050	GO:0022832	voltage-gated channel activity
15	39	0.82283	0.00000	0.00050	GO:0004601	peroxidase activity
15	39	0.82283	0.00000	0.00050	GO:0043268	positive regulation of potassium ion transport
15	39	0.82283	0.00000	0.00050	GO:0051402	neuron apoptotic process
33	86	0.82257	0.00000	<0.00050	GO:0001505	regulation of neurotransmitter levels
65	172	0.81827	0.00000	<0.00050	GO:0000302	response to reactive oxygen species
21	55	0.81767	0.00000	<0.00050	GO:0035150	regulation of tube size
21	55	0.81767	0.00000	<0.00050	GO:1903793	positive regulation of anion transport
32	84	0.81735	0.00000	<0.00050	GO:0044853	plasma membrane raft
16	42	0.81613	0.00000	0.00050	GO:0003254	regulation of membrane depolarization
16	42	0.81613	0.00000	0.00050	GO:0034605	cellular response to heat
